"watershed_group","run_timing_group","CU","gazetted_stream_name","year","size","aggr","lpe_method","water_clarity","substrate_shade","lpe","estimate_method","final_estimate","RSA","RSA_reason","default","calibration.model","fit","se.fit","fit.cv","calibrated.se.lower","calibrated.se.upper","calibrated.estimate","default.per.diff","RSA.per.diff","RSA.applied","n","min10","max10"
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Driftwood River",2024,"Large","LXL","Aerial","Clear","Medium",3,"(Peak Live + Cumulative Dead)*Expansion",5,7,"Large",5.4,"All_ROM_Gen_Model",1.22310134334973,0.071660655974555,7.2,3.16274615745887,3.6501271380283,3.4,-0.37037037037037,-0.514285714285714,"Yes",3,13370,48030
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Porter Creek",2024,"Small","SM","Aerial","Clear","Medium",1,"(Peak Live + Cumulative Dead)*Expansion",2,2.8,"High Vegetation Cover",1.8,"All_Minimal_Model",0.837282520677233,0.354831597752701,36.6,1.62004013385912,3.29403783732307,2.3,0.277777777777778,-0.178571428571429,"Yes",1,20410,24940
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Dust Creek",2024,"Small","SM","Ground","Pt_Turb_Tannic","Medium",16,"(Peak Live + Cumulative Dead)*Expansion",26,26,NA,28.8,"All_Clarity_Model",4.41890972493523,0.508697831368064,54.3,49.9095263606222,138.04884285969,83,1.88194444444444,2.19230769230769,"No",58,70,26050
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Frypan Creek",2024,"Small","SM","Ground","Clear","Medium",6,"(Peak Live + Cumulative Dead)*Expansion",10,10,NA,10.8,"All_Clarity_Model",2.5120904855479,0.265828678589676,27.1,9.45233505697085,16.0855147836756,12.3,0.138888888888889,0.23,"No",58,70,26050
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Hudson Bay Creek",2024,"Small","SM","Ground","Clear","Medium",7,"(Peak Live + Cumulative Dead)*Expansion",12,12,NA,12.6,"All_Clarity_Model",2.66205120327281,0.259758408002904,26.4,11.0484792633868,18.5748703594328,14.3,0.134920634920635,0.191666666666667,"No",58,70,26050
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Narrows Creek",2024,"Small","SM","Ground","Clear","Medium",12,"(Peak Live + Cumulative Dead)*Expansion",20,20,NA,21.6,"All_Clarity_Model",3.1863972664343,0.238571131302769,24.2,19.064465078341,30.7216739617435,24.2,0.12037037037037,0.21,"No",58,70,26050
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Forfar Creek",2024,"Small","SM","Ground","Clear","Medium",16,"(Peak Live + Cumulative Dead)*Expansion",27,27,NA,28.8,"Early_Stu_DeadAlive_Model",3.97592693128727,0.714895653317593,81.7,34.6788664317134,103.215999480639,62.9,1.18402777777778,1.32962962962963,"No",58,70,26050
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","O'Ne-ell Creek",2024,"Small","SM","Ground","Clear","Medium",2,"(Peak Live + Cumulative Dead)*Expansion",3,3,NA,3.6,"All_Clarity_Model",1.44333952386095,0.309198077781466,31.7,3.10850357898047,5.76922410904796,4.2,0.166666666666667,0.4,"No",58,70,26050
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Van Decar Creek",2024,"Small","SM","Ground","Clear","Medium",11,"(Peak Live + Cumulative Dead)*Expansion",18,18,NA,19.8,"All_Clarity_Model",3.1017509414345,0.241987072527921,24.6,17.4574042139023,28.3248075902981,22.2,0.121212121212121,0.233333333333333,"No",58,70,26050
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Paula Creek",2024,"Small","SM","Ground","Clear","Medium",3,"(Peak Live + Cumulative Dead)*Expansion",5,5,NA,5.4,"All_Clarity_Model",1.8377837046615,0.293172300723566,30,4.68615025362084,8.42291531602031,6.3,0.166666666666667,0.26,"No",58,70,26050
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Sidney Creek",2024,"Small","SM","Ground","Clear","Medium",138,"(Peak Live + Cumulative Dead)*Expansion",228,228,NA,248.4,"All_Clarity_Model",5.56235898627689,0.14393137297483,14.5,225.524232259936,300.753309590587,260.4,0.0483091787439612,0.142105263157895,"No",58,70,26050
"Early South Thompson","Early Summer","Shuswap-ES","Eagle River",2024,"Medium","SM","Ground","Pt_Turb_Tannic","Light",31,"(Peak Live + Cumulative Dead)*Expansion",56,72.8,"Inconsistint Survey Schedule; Moderate Counting Conditions",55.8,"All_Minimal_Model",5.73498769247982,0.402740826733103,42,206.902334051075,463.000678354152,309.5,4.54659498207885,3.25137362637363,"Yes",27,4860,101090
"Early South Thompson","Early Summer","Shuswap-ES","Seymour River",2024,"Medium","SM","Ground","Clear","Medium",407,"(Peak Live + Cumulative Dead)*Expansion",734,954.2,"Inconsistint Survey Schedule; Moderate Counting Conditions",732.6,"All_Minimal_Model",7.96550777627947,0.229894332768705,23.3,2288.41208533867,3624.24804188048,2879.9,2.93106743106743,2.01813037099141,"Yes",27,4860,101090
"Early South Thompson","Early Summer","Shuswap - Early Summer","Adams River, upper",2024,"Medium","SM","Ground","Pt_Turb_Tannic","Light",1,"(Peak Live + Cumulative Dead)*Expansion",2,2.4,"Poor Visibility",1.8,"All_Minimal_Model",2.93016863579812,0.615684593690468,67.9,10.1197002323129,34.6692535557122,18.7,9.38888888888889,6.79166666666667,"Yes",27,4860,101090
"Early South Thompson","Early Summer","Shuswap - Early Summer","Anstey River",2024,"Small","SM","Ground","Pt_Turb_Tannic","Medium",34,"(Peak Live + Cumulative Dead)*Expansion",61,61,NA,61.2,"All_Clarity_Model",5.07576427736855,0.451876647224444,47.6,101.889371356729,251.549785592873,160.1,1.61601307189542,1.62459016393443,"No",58,70,26050
"Early South Thompson","Early Summer","Shuswap - Early Summer","Perry River",2024,"Small","SM","Ground","Pt_Turb_Tannic","Medium",1,"(Peak Live + Cumulative Dead)*Expansion",2,2.4,"Turbid",1.8,"All_Clarity_Model",2.00281042474001,0.719986557573407,82.4,3.60681051211682,15.2228407718499,7.4,3.11111111111111,2.08333333333333,"Yes",58,70,26050
"Lower Fraser","Early Summer","Pitt-ES","Upper Pitt River",2024,"Large","LXL","Aerial","Clear","Light",3911,"(Peak Live + Cumulative Dead)*Expansion",7484,9729.2,"Large, Turbid, Aerial",7039.8,"All_ROM_Gen_Model",9.20883739705018,0.53953937032586,58.1,5821.41143963351,17126.4060929285,9985,0.418364158072672,0.0262919870081815,"Yes",3,13370,48030
"Lower Fraser","Early Summer","Nahatlatch-ES","Nahatlatch River",2024,"Medium","SM","Ground","Clear","Medium",849,"(Peak Live + Cumulative Dead)*Expansion",1528,1833.6,"Turbid",1528.2,"All_Minimal_Model",8.51265698439004,0.192792419388543,19.5,4104.60406358263,6035.71380315033,4977.4,2.25703441957859,1.71455061082024,"Yes",27,4860,101090
"Lower Fraser","Early Summer","Pitt-ES","Corbold Creek",2024,"Small","SM","Ground","Pt_Turb_Tannic","Medium",2105,"(Peak Live + Cumulative Dead)*Expansion",3924,4002.48,"Turbid, Aerial",3789,"All_Clarity_Model",8.67100561230504,0.163113468270416,16.4,4953.71036783017,6864.50410660456,5831.4,0.539034045922407,0.456946693050309,"Yes",58,70,26050
"Lower Fraser","Early Summer","Pitt-ES","Fish Hatchery Creek",2024,"Small","SM","Ground","Clear","Medium",19,"(Peak Live + Cumulative Dead)*Expansion",34,34,NA,34.2,"All_Clarity_Model",3.63343907000347,0.220563398937786,22.3,30.3524024056296,47.1815284190507,37.8,0.105263157894737,0.111764705882353,"No",58,70,26050
"Lower Fraser","Early Summer","Pitt-ES","South Boise Creek",2024,"Small","SM","Ground","Clear","Medium",51,"(Peak Live + Cumulative Dead)*Expansion",92,92,NA,91.8,"All_Clarity_Model",4.59398761513779,0.182119010518527,18.4,82.4233363226869,118.641533767267,98.9,0.0773420479302833,0.0750000000000001,"No",58,70,26050
"Lower Fraser","Early Summer","Pitt-ES","Olsen Creek",2024,"Small","SM","Ground","Clear","Medium",8,"(Peak Live + Cumulative Dead)*Expansion",14,14,NA,14.4,"All_Clarity_Model",2.79195308563376,0.254503740151001,25.9,12.6473707216948,21.0406614641343,16.3,0.131944444444444,0.164285714285714,"No",58,70,26050
"Lower Fraser","Early Summer","Pitt-ES","Upper Pitt Channel",2024,"Small","SM","Ground","Pt_Turb_Tannic","Medium",1758,"(Peak Live + Cumulative Dead)*Expansion",3164,3164,NA,3164.4,"All_Clarity_Model",8.51402852230573,0.17344249078974,17.5,4190.54481335037,5928.17100226305,4984.2,0.575085324232082,0.575284450063211,"No",58,70,26050
"Lower Fraser","Early Summer","Chilliwack-ES","Depot Creek",2024,"Small","SM","Ground","Pt_Turb_Tannic","Medium",31,"(Peak Live + Cumulative Dead)*Expansion",56,56,NA,55.8,"All_Clarity_Model",4.99526798437888,0.458817615182213,48.4,93.3588219179797,233.711067830478,147.7,1.64695340501792,1.6375,"No",58,70,26050
"Lower Fraser","Early Summer","Chilliwack-ES","Paleface Creek",2024,"Small","SM","Ground","Clear","Medium",4,"(Peak Live + Cumulative Dead)*Expansion",7,7,NA,7.2,"All_Clarity_Model",2.11764630474736,0.281814828542996,28.8,6.27034562170377,11.0172379580083,8.3,0.152777777777778,0.185714285714286,"No",58,70,26050
"Seton-Anderson","Early Summer","Anderson-Seton - Early Summer","Gates River",2024,"Small","SM","Ground","Pt_Turb_Tannic","Medium",2633,"(Peak Live + Cumulative Dead)*Expansion",5481,6577.2,"Turbid",4739.4,"All_Clarity_Model",8.86603755000548,0.151099566583646,15.2,6093.25672283337,8243.14410765986,7087.1,0.495358062201966,0.0775253907437816,"Yes",58,70,26050
"Seton-Anderson","Early Summer","Anderson-Seton - Early Summer","Haylmore Creek",2024,"Small","SM","Ground","Pt_Turb_Tannic","Medium",84,"(Peak Live + Cumulative Dead)*Expansion",151,181.2,"Turbid",151.2,"All_Clarity_Model",5.86392883769038,0.384352361657842,39.9,239.745148053088,517.123228625813,352.1,1.3287037037037,0.943156732891832,"Yes",58,70,26050
"Seton-Anderson","Early Summer","Anderson-Seton - Early Summer","Spruce Creek",2024,"Small","SM","Ground","Pt_Turb_Tannic","Medium",3,"(Peak Live + Cumulative Dead)*Expansion",5,6,"Turbid",5.4,"All_Clarity_Model",2.96016712194702,0.635960388328029,70.6,10.2185708211184,36.4567822197556,19.3,2.57407407407407,2.21666666666667,"Yes",58,70,26050
"Nechako","Early Summer","Nadina-Francois-ES","Late Nadina River",2024,"Medium","SM","Aerial","Pt_Turb_Tannic","Dark",38615.5,"DIDSON/ARIS counter",89321,89321,NA,69507.9,"All_Minimal_Model",11.3567862162188,0.115902082231729,11.6,76182.2773554918,96056.1599083967,85544,0.230709027319197,-0.0422856886958274,"No",38,2230,144480
"North Thompson","Early Summer","North Barriere - ES","Barriere River, upper",2024,"Small","SM","Ground","Clear","Medium",1059,"(Peak Live + Cumulative Dead)*Expansion",1906,1906,NA,1906.2,"All_Clarity_Model",7.54479557975558,0.0714831356562434,7.2,1760.4283587979,2030.9901574555,1890.9,-0.00802644003777146,-0.00792235047219303,"No",58,70,26050
"Upper Fraser","Early Summer","Bowron-ES","Bowron River, upper",2024,"Medium","SM","Aerial","Clear","Medium",220,"(Peak Live + Cumulative Dead)*Expansion",616,616,NA,396,"All_Minimal_Model",7.5077040821805,0.261115641397985,26.6,1403.30920010064,2365.67748659217,1822,3.6010101010101,1.95779220779221,"No",38,2230,144480
"Late Stuart","Summer","Takla-Trembleur-Stuart-S","Kazchek Creek",2024,"Small","SM","Ground","Clear","Medium",49,"(Peak Live + Cumulative Dead)*Expansion",88,88,NA,88.2,"All_Clarity_Model",4.55506966357106,0.183668080281456,18.5,79.154495607256,114.289847530729,95.1,0.0782312925170067,0.0806818181818181,"No",58,70,26050
"Late Stuart","Summer","Takla-Trembleur-Stuart-S","Kuzkwa Creek",2024,"Medium","SM","Ground","Clear","Medium",1636,"(Peak Live + Cumulative Dead)*Expansion",2950,3835,"Tannic, Aerial, Survey Schedule",2944.8,"All_Minimal_Model",9.00079660522592,0.160010960875393,16.1,6910.41964038046,9516.73937128254,8109.5,1.7538372724803,1.11460234680574,"Yes",27,4860,101090
"Late Stuart","Summer","Takla-Trembleur-Stuart-S","Middle River",2024,"X-Large","LXL","Aerial","Pt_Turb_Tannic","Medium",8110,"(Peak Live + Cumulative Dead)*Expansion",14688,19094.4,"X-Large, Tannic, Aerial",14598,"All_ROM_GenB_Model",9.79873378988002,0.502272863747731,53.6,10899.3771690692,29762.5643713758,18010.9,0.233792300315112,-0.0567443857885034,"Yes",27,3200,267800
"Late Stuart","Summer","Takla-Trembleur-Stuart-S","Pinchi Creek",2024,"Small","SM","Ground","Clear","Medium",370,"(Peak Live + Cumulative Dead)*Expansion",666,666,NA,666,"All_Clarity_Model",6.52180111212923,0.107261019668579,10.8,610.659849157743,756.772085235548,679.8,0.0207207207207207,0.0207207207207207,"No",58,70,26050
"Late Stuart","Summer","Takla-Trembleur-Stuart-S","Tachie River",2024,"X-Large","LXL","Aerial","Pt_Turb_Tannic","Dark",15622,"(Peak Live + Cumulative Dead)*Expansion",28143,39400.2,"X-Large, Tannic, Aerial, Deep",28119.6,"All_ROM_GenB_Model",10.5124301938597,0.538856196284387,58,21452.0179654681,63024.9771905,36769.7,0.307618173800481,-0.0667636204892361,"Yes",27,3200,267800
"Nechako","Summer","Francois-Fraser-S","Stellako River",2024,"Medium","SM","Ground","Clear","Medium",48793,"DIDSON/ARIS counter",65165,65165,NA,87827.4,"Stellako_Discharge_Model",11.7115996568263,0.135115822232674,13.6,106562.168392254,139624.991997733,121978.4,0.388842206418498,0.87183917747257,"No",27,4860,101090
"North Thompson","Summer","Kamloops-ES","Raft River",2024,"Medium","SM","Ground","Clear","Medium",7145,"(Peak Live + Cumulative Dead)*Expansion",12861,15433.2,"Medium, Evidence from Prior Calibration Point",12861,"All_Minimal_Model",10.0978235798758,0.0892122408884342,8.9,22216.9621958127,26556.6594182365,24290.1,0.888663400979706,0.573886167483088,"Yes",27,4860,101090
"Quesnel","Summer","Cariboo-S","Cariboo River, upper",2024,"Large","LXL","Aerial","Pt_Turb_Tannic","Light",570,"(Peak Live + Cumulative Dead)*Expansion",1030,1545,"Large, Turbid, Survey Schedule",1026,"All_ROM_Gen_Model",7.06469100827897,0.41391532652912,43.2,773.383992778437,1769.77258596579,1169.9,0.140253411306043,-0.242783171521036,"Yes",3,13370,48030
"Quesnel","Summer","Middle Fraser - River Type","Quesnel River",2024,"Large","LXL","Aerial","Clear","Medium",501,"(Peak Live + Cumulative Dead)*Expansion",947,1231.1,"Large, Aerial, High Water",901.8,"All_ROM_Gen_Model",6.92103970776726,0.405498896866739,42.3,675.559212534484,1520.1109500555,1013.4,0.12375249500998,-0.176833725936155,"Yes",3,13370,48030
"Quesnel","Summer","Quesnel-S","Deception Point",2024,"Large","LXL","Ground","Clear","Medium",46,"(Peak Live + Cumulative Dead)*Expansion",83,116.2,"Deep",82.8,"All_Clarity_Model",7.18573450422647,0.659574278460589,73.8,682.771483348079,2553.72608821487,1320.5,14.9480676328502,10.3640275387263,"Yes",7,17460,345560
"Quesnel","Summer","Quesnel-S","Horsefly River",2024,"Medium","SM","Ground","Clear","Medium",3172,"(Peak Live + Cumulative Dead)*Expansion",5710,7423,"Medium, Tannic, Protracted, Aerial, Survey Schedule",5709.6,"All_Minimal_Model",9.4935186375039,0.127472786857382,12.8,11684.8200953105,15077.9912184191,13273.4,1.32475129606277,0.788144954869999,"Yes",27,4860,101090
"Quesnel","Summer","Quesnel-S","Little Horsefly River",2024,"Medium","SM","Ground","Clear","Medium",1635,"(Peak Live + Cumulative Dead)*Expansion",2943,2943,NA,2943,"All_Minimal_Model",9.00034159352068,0.16004131652049,16.1,6907.06636216158,9512.69888820422,8105.9,1.75429833503228,1.75429833503228,"No",27,4860,101090
"Quesnel","Summer","Quesnel-S","Quesnel Lake - North Arm Shore - East",2024,"Large","LXL","Aerial","Clear","Medium",9,"(Peak Live + Cumulative Dead)*Expansion",16,22.4,"Deep",16.2,"All_ROM_Gen_Model",2.44620268669947,0.14332131194911,14.4,10.0029632565209,13.3234281237707,11.5,-0.290123456790123,-0.486607142857143,"Yes",3,13370,48030
"Quesnel","Summer","Quesnel-S","Mitchell River",2024,"Medium","SM","Ground","Pt_Turb_Tannic","Light",317,"(Peak Live + Cumulative Dead)*Expansion",571,799.4,"Glacial, Late, Aerial, Survey Schedule",570.6,"All_Minimal_Model",7.63393614542423,0.261017058448137,26.6,1592.2749948982,2683.70398664023,2067.2,2.62285313704872,1.58593945459094,"Yes",27,4860,101090
"Quesnel","Summer","Quesnel-S","Summit Creek",2024,"Small","SM","Ground","Clear","Medium",32,"(Peak Live + Cumulative Dead)*Expansion",58,58,NA,57.6,"All_Clarity_Model",4.14056664740656,0.200216122534143,20.2,51.436627958399,76.7676072009063,62.8,0.0902777777777777,0.0827586206896551,"No",58,70,26050
"Lower Fraser","Summer","Widgeon (River-Type)","Widgeon Slough",2024,"Small","SM","Aerial","Clear","Medium",92,"(Peak Live + Cumulative Dead)*Expansion",191,191,NA,165.6,"All_Minimal_Model",5.20934167067676,0.167733550257027,16.9,154.71862125209,216.38846055294,183,0.105072463768116,-0.0418848167539267,"No",1,20410,24940
"North Thompson","Summer","Kamloops - Early Summer","Barriere River",2024,"Medium","SM","Aerial","Clear","Dark",55,"(Peak Live + Cumulative Dead)*Expansion",104,124.8,"Medium",99,"All_Minimal_Model",5.16532961403016,0.444635519786716,46.8,112.246135032007,273.134714673758,175.1,0.768686868686869,0.403044871794872,"Yes",38,2230,144480
"Mid Fraser","Summer","Middle Fraser - River Type (Unvalidated)","Bridge River",2024,"Medium","SM","Ground","Pt_Turb_Tannic","Medium",135,"(Peak Live + Cumulative Dead)*Expansion",248,322.4,"Turbid, Incomplete Survey Area",243,"All_Minimal_Model",7.14428581138815,0.285977804180991,29.2,951.755341183218,1686.25203707079,1266.8,4.21316872427983,2.92928039702233,"Yes",27,4860,101090
"Late South Thompson","Late","Shuswap Complex-L","Adams River, lower",2024,"Large","LXL","Ground","Clear","Medium",763,"(Peak Live + Cumulative Dead)*Expansion",1373,1647.6,"Large",1373.4,"All_Clarity_Model",9.20993416382967,0.409219686270112,42.7,6638.98571846674,15050.3097310246,9995.9,6.27821464977428,5.06694586064579,"Yes",7,17460,345560
"Late South Thompson","Late","Shuswap Complex-L","Little River",2024,"X-Large","LXL","Ground","Clear","Medium",43,"(Peak Live + Cumulative Dead)*Expansion",77,154,"X-Large",77.4,"All_Clarity_Model",7.15080359483092,0.729874420605984,83.9,614.573895129662,2645.66575394923,1275.1,15.4741602067183,7.27987012987013,"Yes",1,47790,58410
"Late South Thompson","Late","Shuswap Complex-L","Lower Shuswap River",2024,"Large","LXL","Ground","Pt_Turb_Tannic","Medium",15,"(Peak Live + Cumulative Dead)*Expansion",27,35.1,"Large, Turbid",27,"All_Clarity_Model",7.33730636895668,0.900649439824293,111.8,624.316173989993,3781.80167546579,1536.6,55.9111111111111,42.7777777777778,"Yes",7,17460,345560
"Late South Thompson","Late","Shuswap Complex - Late","Middle Shuswap River",2024,"Medium","SM","Ground","Clear","Medium",2,"(Peak Live + Cumulative Dead)*Expansion",4,5.2,"Large, Turbid",3.6,"All_Minimal_Model",4.00973999010287,0.501728607862507,53.5,33.3818180580516,91.0554442053973,55.1,14.3055555555556,9.59615384615384,"Yes",27,4860,101090
"Seton-Anderson","Late","Seton-L","Portage Creek",2024,"Medium","SM","Ground","Clear","Medium",182,"(Peak Live + Cumulative Dead)*Expansion",328,393.6,"Medium",327.6,"All_Minimal_Model",7.36659362000691,0.270762349632966,27.6,1206.92522779275,2074.2521740132,1582.2,3.82967032967033,3.01981707317073,"Yes",27,4860,101090
"Harrison-Lillooet","Late","Lillooet-Harrison - Late","Green River",2024,"Medium","SM","Ground","Pt_Turb_Tannic","Medium",358,"(Peak Live + Cumulative Dead)*Expansion",646,839.8,"Turbid",644.4,"All_Minimal_Model",7.87004529264936,0.236393785655929,24,2066.5823992833,3315.7498571934,2617.7,3.06222842954686,2.11705167897118,"Yes",27,4860,101090
