"watershed_group","run_timing_group","CU","gazetted_stream_name","year","size","aggr","lpe_method","water_clarity","substrate_shade","lpe","estimate_method","final_estimate","RSA","RSA_reason","min10.ms","is.less.than","max10.ma","is.greater.than","default","calibration.model","fit","se.fit","fit.cv","calibrated.se.lower","calibrated.se.upper","calibrated.estimate","default.per.diff","RSA.per.diff","RSA.applied"
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Driftwood River",2024,"Large","LXL","Aerial","Clear","Medium",3,"(Peak Live + Cumulative Dead)*Expansion",5,7,"Large",13370,TRUE,267800,FALSE,5.4,"MoR_Low_Abundance_Models",7.60231344665325,2.64133476310761,34.7,4.96097868354564,10.2436482097609,7.6,0.407407407407407,0.0857142857142857,"Yes"
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Porter Creek",2024,"Small","SM","Aerial","Clear","Medium",1,"(Peak Live + Cumulative Dead)*Expansion",2,2.8,"High Vegetation Cover",20410,TRUE,144480,FALSE,1.8,"MoR_Low_Abundance_Models",2.53410448221775,0.88044492103587,34.7,1.65365956118188,3.41454940325362,2.5,0.388888888888889,-0.107142857142857,"Yes"
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Dust Creek",2024,"Small","SM","Ground","Pt_Turb_Tannic","Medium",16,"(Peak Live + Cumulative Dead)*Expansion",26,26,NA,70,TRUE,101090,FALSE,28.8,"MoR_Low_Abundance_Models",42.6994117347738,12.8134982025379,30,29.8859135322359,55.5129099373118,42.7,0.482638888888889,0.642307692307692,"No"
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Frypan Creek",2024,"Small","SM","Ground","Clear","Medium",6,"(Peak Live + Cumulative Dead)*Expansion",10,10,NA,70,TRUE,101090,FALSE,10.8,"MoR_Low_Abundance_Models",10.24431878273,2.20364869776429,21.5,8.04067008496571,12.4479674804943,10.2,-0.0555555555555557,0.0199999999999999,"No"
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Hudson Bay Creek",2024,"Small","SM","Ground","Clear","Medium",7,"(Peak Live + Cumulative Dead)*Expansion",12,12,NA,70,TRUE,101090,FALSE,12.6,"MoR_Low_Abundance_Models",11.9517052465183,2.57092348072501,21.5,9.38078176579332,14.5226287272433,12,-0.0476190476190476,0,"No"
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Narrows Creek",2024,"Small","SM","Ground","Clear","Medium",12,"(Peak Live + Cumulative Dead)*Expansion",20,20,NA,70,TRUE,101090,FALSE,21.6,"MoR_Low_Abundance_Models",20.48863756546,4.40729739552858,21.5,16.0813401699314,24.8959349609886,20.5,-0.050925925925926,0.025,"No"
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Forfar Creek",2024,"Small","SM","Ground","Clear","Medium",16,"(Peak Live + Cumulative Dead)*Expansion",27,27,NA,70,TRUE,101090,FALSE,28.8,"Early_Stu_DeadAlive_Model",3.97592693128727,0.714895653317593,81.7,34.6788664317134,103.215999480639,62.9,1.18402777777778,1.32962962962963,"No"
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","O'Ne-ell Creek",2024,"Small","SM","Ground","Clear","Medium",2,"(Peak Live + Cumulative Dead)*Expansion",3,3,NA,70,TRUE,101090,FALSE,3.6,"MoR_Low_Abundance_Models",3.41477292757667,0.73454956592143,21.5,2.68022336165524,4.1493224934981,3.4,-0.0555555555555556,0.133333333333333,"No"
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Van Decar Creek",2024,"Small","SM","Ground","Clear","Medium",11,"(Peak Live + Cumulative Dead)*Expansion",18,18,NA,70,TRUE,101090,FALSE,19.8,"MoR_Low_Abundance_Models",18.7812511016717,4.04002261256787,21.5,14.7412284891038,22.8212737142395,18.8,-0.0505050505050505,0.0444444444444445,"No"
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Paula Creek",2024,"Small","SM","Ground","Clear","Medium",3,"(Peak Live + Cumulative Dead)*Expansion",5,5,NA,70,TRUE,101090,FALSE,5.4,"MoR_Low_Abundance_Models",5.122159391365,1.10182434888215,21.5,4.02033504248285,6.22398374024714,5.1,-0.0555555555555557,0.0199999999999999,"No"
"Early Stuart","Early Stuart","Takla-Trembleur-Estu","Sidney Creek",2024,"Small","SM","Ground","Clear","Medium",138,"(Peak Live + Cumulative Dead)*Expansion",228,228,NA,70,FALSE,101090,FALSE,248.4,"All_Clarity_Model",5.56235898627689,0.14393137297483,14.5,225.524232259936,300.753309590587,260.4,0.0483091787439612,0.142105263157895,"No"
"Early South Thompson","Early Summer","Shuswap-ES","Eagle River",2024,"Medium","SM","Ground","Pt_Turb_Tannic","Light",31,"(Peak Live + Cumulative Dead)*Expansion",56,72.8,"Inconsistint Survey Schedule; Moderate Counting Conditions",4860,TRUE,101090,FALSE,55.8,"MoR_Low_Abundance_Models",82.7301102361243,24.8261527674172,30,57.9039574687071,107.556263003542,82.7,0.482078853046595,0.135989010989011,"Yes"
"Early South Thompson","Early Summer","Shuswap-ES","Seymour River",2024,"Medium","SM","Ground","Clear","Medium",407,"(Peak Live + Cumulative Dead)*Expansion",734,954.2,"Inconsistint Survey Schedule; Moderate Counting Conditions",4860,TRUE,101090,FALSE,732.6,"MoR_Low_Abundance_Models",694.906290761851,149.480836665011,21.5,545.42545409684,844.387127426862,694.9,-0.0514605514605515,-0.271745965206456,"Yes"
"Early South Thompson","Early Summer","Shuswap - Early Summer","Adams River, upper",2024,"Medium","SM","Ground","Pt_Turb_Tannic","Light",1,"(Peak Live + Cumulative Dead)*Expansion",2,2.4,"Poor Visibility",4860,TRUE,101090,FALSE,1.8,"MoR_Low_Abundance_Models",2.66871323342336,0.80084363765862,30,1.86786959576474,3.46955687108199,2.7,0.5,0.125,"Yes"
"Early South Thompson","Early Summer","Shuswap - Early Summer","Anstey River",2024,"Small","SM","Ground","Pt_Turb_Tannic","Medium",34,"(Peak Live + Cumulative Dead)*Expansion",61,61,NA,70,TRUE,101090,FALSE,61.2,"MoR_Low_Abundance_Models",90.7362499363944,27.2286836803931,30,63.5075662560013,117.964933616788,90.7,0.48202614379085,0.486885245901639,"No"
"Early South Thompson","Early Summer","Shuswap - Early Summer","Perry River",2024,"Small","SM","Ground","Pt_Turb_Tannic","Medium",1,"(Peak Live + Cumulative Dead)*Expansion",2,2.4,"Turbid",70,TRUE,101090,FALSE,1.8,"MoR_Low_Abundance_Models",2.66871323342336,0.80084363765862,30,1.86786959576474,3.46955687108199,2.7,0.5,0.125,"Yes"
"Lower Fraser","Early Summer","Pitt-ES","Upper Pitt River",2024,"Large","LXL","Aerial","Clear","Light",3911,"(Peak Live + Cumulative Dead)*Expansion",7484,9729.2,"Large, Turbid, Aerial",13370,TRUE,267800,FALSE,7039.8,"MoR_Low_Abundance_Models",9910.88262995362,3443.42008617129,34.7,6467.46254378234,13354.3027161249,9910.9,0.407838290860536,0.0186757390124572,"Yes"
"Lower Fraser","Early Summer","Nahatlatch-ES","Nahatlatch River",2024,"Medium","SM","Ground","Clear","Medium",849,"(Peak Live + Cumulative Dead)*Expansion",1528,1833.6,"Turbid",4860,TRUE,101090,FALSE,1528.2,"MoR_Low_Abundance_Models",1449.57110775629,311.816290733647,21.5,1137.75481702265,1761.38739848994,1449.6,-0.0514330585001964,-0.209424083769634,"Yes"
"Lower Fraser","Early Summer","Pitt-ES","Corbold Creek",2024,"Small","SM","Ground","Pt_Turb_Tannic","Medium",2105,"(Peak Live + Cumulative Dead)*Expansion",3924,4002.48,"Turbid, Aerial",70,FALSE,101090,FALSE,3789,"All_Clarity_Model",8.67100561230504,0.163113468270416,16.4,4953.71036783017,6864.50410660456,5831.4,0.539034045922407,0.456946693050309,"Yes"
"Lower Fraser","Early Summer","Pitt-ES","Fish Hatchery Creek",2024,"Small","SM","Ground","Clear","Medium",19,"(Peak Live + Cumulative Dead)*Expansion",34,34,NA,70,TRUE,101090,FALSE,34.2,"MoR_Low_Abundance_Models",32.4403428119783,6.97822087625359,21.5,25.4621219357247,39.4185636882319,32.4,-0.0526315789473685,-0.0470588235294118,"No"
"Lower Fraser","Early Summer","Pitt-ES","South Boise Creek",2024,"Small","SM","Ground","Clear","Medium",51,"(Peak Live + Cumulative Dead)*Expansion",92,92,NA,70,TRUE,101090,FALSE,91.8,"MoR_Low_Abundance_Models",87.076709653205,18.7310139309965,21.5,68.3456957222085,105.807723584201,87.1,-0.0511982570806101,-0.0532608695652175,"No"
"Lower Fraser","Early Summer","Pitt-ES","Olsen Creek",2024,"Small","SM","Ground","Clear","Medium",8,"(Peak Live + Cumulative Dead)*Expansion",14,14,NA,70,TRUE,101090,FALSE,14.4,"MoR_Low_Abundance_Models",13.6590917103067,2.93819826368572,21.5,10.7208934466209,16.5972899739924,13.7,-0.0486111111111112,-0.0214285714285715,"No"
"Lower Fraser","Early Summer","Pitt-ES","Upper Pitt Channel",2024,"Small","SM","Ground","Pt_Turb_Tannic","Medium",1758,"(Peak Live + Cumulative Dead)*Expansion",3164,3164,NA,70,FALSE,101090,FALSE,3164.4,"All_Clarity_Model",8.51402852230573,0.17344249078974,17.5,4190.54481335037,5928.17100226305,4984.2,0.575085324232082,0.575284450063211,"No"
"Lower Fraser","Early Summer","Chilliwack-ES","Depot Creek",2024,"Small","SM","Ground","Pt_Turb_Tannic","Medium",31,"(Peak Live + Cumulative Dead)*Expansion",56,56,NA,70,TRUE,101090,FALSE,55.8,"MoR_Low_Abundance_Models",82.7301102361243,24.8261527674172,30,57.9039574687071,107.556263003542,82.7,0.482078853046595,0.476785714285714,"No"
"Lower Fraser","Early Summer","Chilliwack-ES","Paleface Creek",2024,"Small","SM","Ground","Clear","Medium",4,"(Peak Live + Cumulative Dead)*Expansion",7,7,NA,70,TRUE,101090,FALSE,7.2,"MoR_Low_Abundance_Models",6.82954585515333,1.46909913184286,21.5,5.36044672331047,8.29864498699619,6.8,-0.0555555555555556,-0.0285714285714286,"No"
"Seton-Anderson","Early Summer","Anderson-Seton - Early Summer","Gates River",2024,"Small","SM","Ground","Pt_Turb_Tannic","Medium",2633,"(Peak Live + Cumulative Dead)*Expansion",5481,6577.2,"Turbid",70,FALSE,101090,FALSE,4739.4,"All_Clarity_Model",8.86603755000548,0.151099566583646,15.2,6093.25672283337,8243.14410765986,7087.1,0.495358062201966,0.0775253907437816,"Yes"
"Seton-Anderson","Early Summer","Anderson-Seton - Early Summer","Haylmore Creek",2024,"Small","SM","Ground","Pt_Turb_Tannic","Medium",84,"(Peak Live + Cumulative Dead)*Expansion",151,181.2,"Turbid",70,FALSE,101090,FALSE,151.2,"All_Clarity_Model",5.86392883769038,0.384352361657842,39.9,239.745148053088,517.123228625813,352.1,1.3287037037037,0.943156732891832,"Yes"
"Seton-Anderson","Early Summer","Anderson-Seton - Early Summer","Spruce Creek",2024,"Small","SM","Ground","Pt_Turb_Tannic","Medium",3,"(Peak Live + Cumulative Dead)*Expansion",5,6,"Turbid",70,TRUE,101090,FALSE,5.4,"MoR_Low_Abundance_Models",8.0061397002701,2.40253091297586,30,5.60360878729423,10.408670613246,8,0.481481481481481,0.333333333333333,"Yes"
"Nechako","Early Summer","Nadina-Francois-ES","Late Nadina River",2024,"Medium","SM","Aerial","Pt_Turb_Tannic","Dark",38615.5,"DIDSON/ARIS counter",89321,89321,NA,2230,FALSE,144480,FALSE,69507.9,"All_Minimal_Model",11.3567862162188,0.115902082231729,11.6,76182.2773554918,96056.1599083967,85544,0.230709027319197,-0.0422856886958274,"No"
"North Thompson","Early Summer","North Barriere - ES","Barriere River, upper",2024,"Small","SM","Ground","Clear","Medium",1059,"(Peak Live + Cumulative Dead)*Expansion",1906,1906,NA,70,FALSE,101090,FALSE,1906.2,"All_Clarity_Model",7.54479557975558,0.0714831356562434,7.2,1760.4283587979,2030.9901574555,1890.9,-0.00802644003777146,-0.00792235047219303,"No"
"Upper Fraser","Early Summer","Bowron-ES","Bowron River, upper",2024,"Medium","SM","Aerial","Clear","Medium",220,"(Peak Live + Cumulative Dead)*Expansion",616,616,NA,2230,TRUE,144480,FALSE,396,"MoR_Low_Abundance_Models",557.502986087905,193.697882627891,34.7,363.805103460014,751.200868715796,557.5,0.407828282828283,-0.0949675324675325,"No"
"Late Stuart","Summer","Takla-Trembleur-Stuart-S","Kazchek Creek",2024,"Small","SM","Ground","Clear","Medium",49,"(Peak Live + Cumulative Dead)*Expansion",88,88,NA,70,TRUE,101090,FALSE,88.2,"MoR_Low_Abundance_Models",83.6619367256283,17.996464365075,21.5,65.6654723605533,101.658401090703,83.7,-0.0510204081632653,-0.0488636363636363,"No"
"Late Stuart","Summer","Takla-Trembleur-Stuart-S","Kuzkwa Creek",2024,"Medium","SM","Ground","Clear","Medium",1636,"(Peak Live + Cumulative Dead)*Expansion",2950,3835,"Tannic, Aerial, Survey Schedule",4860,TRUE,101090,FALSE,2944.8,"MoR_Low_Abundance_Models",2793.28425475771,600.86154492373,21.5,2192.42270983398,3394.14579968144,2793.3,-0.0514466177669112,-0.271629726205997,"Yes"
"Late Stuart","Summer","Takla-Trembleur-Stuart-S","Middle River",2024,"X-Large","LXL","Aerial","Pt_Turb_Tannic","Medium",8110,"(Peak Live + Cumulative Dead)*Expansion",14688,19094.4,"X-Large, Tannic, Aerial",3200,FALSE,267800,FALSE,14598,"All_ROM_GenB_Model",9.79873378988002,0.502272863747731,53.6,10899.3771690692,29762.5643713758,18010.9,0.233792300315112,-0.0567443857885034,"Yes"
"Late Stuart","Summer","Takla-Trembleur-Stuart-S","Pinchi Creek",2024,"Small","SM","Ground","Clear","Medium",370,"(Peak Live + Cumulative Dead)*Expansion",666,666,NA,70,FALSE,101090,FALSE,666,"All_Clarity_Model",6.52180111212923,0.107261019668579,10.8,610.659849157743,756.772085235548,679.8,0.0207207207207207,0.0207207207207207,"No"
"Late Stuart","Summer","Takla-Trembleur-Stuart-S","Tachie River",2024,"X-Large","LXL","Aerial","Pt_Turb_Tannic","Dark",15622,"(Peak Live + Cumulative Dead)*Expansion",28143,39400.2,"X-Large, Tannic, Aerial, Deep",3200,FALSE,267800,FALSE,28119.6,"All_ROM_GenB_Model",10.5124301938597,0.538856196284387,58,21452.0179654681,63024.9771905,36769.7,0.307618173800481,-0.0667636204892361,"Yes"
"Nechako","Summer","Francois-Fraser-S","Stellako River",2024,"Medium","SM","Ground","Clear","Medium",48793,"DIDSON/ARIS counter",65165,65165,NA,4860,FALSE,101090,FALSE,87827.4,"Stellako_Discharge_Model",11.7115996568263,0.135115822232674,13.6,106562.168392254,139624.991997733,121978.4,0.388842206418498,0.87183917747257,"No"
"North Thompson","Summer","Kamloops-ES","Raft River",2024,"Medium","SM","Ground","Clear","Medium",7145,"(Peak Live + Cumulative Dead)*Expansion",12861,15433.2,"Medium, Evidence from Prior Calibration Point",4860,FALSE,101090,FALSE,12861,"All_Minimal_Model",10.0978235798758,0.0892122408884342,8.9,22216.9621958127,26556.6594182365,24290.1,0.888663400979706,0.573886167483088,"Yes"
"Quesnel","Summer","Cariboo-S","Cariboo River, upper",2024,"Large","LXL","Aerial","Pt_Turb_Tannic","Light",570,"(Peak Live + Cumulative Dead)*Expansion",1030,1545,"Large, Turbid, Survey Schedule",13370,TRUE,267800,FALSE,1026,"MoR_Low_Abundance_Models",2059.03611443356,1134.57174463,55.1,924.464369803559,3193.60785906356,2059,1.00682261208577,0.332686084142395,"Yes"
"Quesnel","Summer","Middle Fraser - River Type","Quesnel River",2024,"Large","LXL","Aerial","Clear","Medium",501,"(Peak Live + Cumulative Dead)*Expansion",947,1231.1,"Large, Aerial, High Water",13370,TRUE,267800,FALSE,901.8,"MoR_Low_Abundance_Models",1269.58634559109,441.102905438971,34.7,828.483440152122,1710.68925103006,1269.6,0.407850964737192,0.0312728454227924,"Yes"
"Quesnel","Summer","Quesnel-S","Deception Point",2024,"Large","LXL","Ground","Clear","Medium",46,"(Peak Live + Cumulative Dead)*Expansion",83,116.2,"Deep",17460,TRUE,345560,FALSE,82.8,"MoR_Low_Abundance_Models",78.5397773342633,16.8946400161929,21.5,61.6451373180704,95.4344173504562,78.5,-0.0519323671497584,-0.324440619621342,"Yes"
"Quesnel","Summer","Quesnel-S","Horsefly River",2024,"Medium","SM","Ground","Clear","Medium",3172,"(Peak Live + Cumulative Dead)*Expansion",5710,7423,"Medium, Tannic, Protracted, Aerial, Survey Schedule",4860,TRUE,101090,FALSE,5709.6,"MoR_Low_Abundance_Models",5415.82986313659,1164.99561155139,21.5,4250.8342515852,6580.82547468798,5415.8,-0.0514571948998179,-0.270402802101576,"Yes"
"Quesnel","Summer","Quesnel-S","Little Horsefly River",2024,"Medium","SM","Ground","Clear","Medium",1635,"(Peak Live + Cumulative Dead)*Expansion",2943,2943,NA,4860,TRUE,101090,FALSE,2943,"MoR_Low_Abundance_Models",2791.57686829392,600.494270140769,21.5,2191.08259815315,3392.07113843469,2791.6,-0.0514441046551139,-0.0514441046551139,"No"
"Quesnel","Summer","Quesnel-S","Quesnel Lake - North Arm Shore - East",2024,"Large","LXL","Aerial","Clear","Medium",9,"(Peak Live + Cumulative Dead)*Expansion",16,22.4,"Deep",13370,TRUE,267800,FALSE,16.2,"MoR_Low_Abundance_Models",22.8069403399598,7.92400428932283,34.7,14.8829360506369,30.7309446292826,22.8,0.407407407407407,0.017857142857143,"Yes"
"Quesnel","Summer","Quesnel-S","Mitchell River",2024,"Medium","SM","Ground","Pt_Turb_Tannic","Light",317,"(Peak Live + Cumulative Dead)*Expansion",571,799.4,"Glacial, Late, Aerial, Survey Schedule",4860,TRUE,101090,FALSE,570.6,"MoR_Low_Abundance_Models",845.982094995207,253.867433137783,30,592.114661857424,1099.84952813299,846,0.482649842271293,0.0582937202902177,"Yes"
"Quesnel","Summer","Quesnel-S","Summit Creek",2024,"Small","SM","Ground","Clear","Medium",32,"(Peak Live + Cumulative Dead)*Expansion",58,58,NA,70,TRUE,101090,FALSE,57.6,"MoR_Low_Abundance_Models",54.6363668412266,11.7527930547429,21.5,42.8835737864838,66.3891598959695,54.6,-0.0520833333333333,-0.0586206896551724,"No"
"Lower Fraser","Summer","Widgeon (River-Type)","Widgeon Slough",2024,"Small","SM","Aerial","Clear","Medium",92,"(Peak Live + Cumulative Dead)*Expansion",191,191,NA,20410,TRUE,144480,FALSE,165.6,"MoR_Low_Abundance_Models",233.137612364033,81.0009327353,34.7,152.136679628733,314.138545099333,233.1,0.407608695652174,0.220418848167539,"No"
"North Thompson","Summer","Kamloops - Early Summer","Barriere River",2024,"Medium","SM","Aerial","Clear","Dark",55,"(Peak Live + Cumulative Dead)*Expansion",104,124.8,"Medium",2230,TRUE,144480,FALSE,99,"MoR_Low_Abundance_Models",139.375746521976,48.4244706569728,34.7,90.9512758650034,187.800217178949,139.4,0.408080808080808,0.11698717948718,"Yes"
"Mid Fraser","Summer","Middle Fraser - River Type (Unvalidated)","Bridge River",2024,"Medium","SM","Ground","Pt_Turb_Tannic","Medium",135,"(Peak Live + Cumulative Dead)*Expansion",248,322.4,"Turbid, Incomplete Survey Area",4860,TRUE,101090,FALSE,243,"MoR_Low_Abundance_Models",360.276286512154,108.113891083914,30,252.162395428241,468.390177596068,360.3,0.482716049382716,0.117555831265509,"Yes"
"Late South Thompson","Late","Shuswap Complex-L","Adams River, lower",2024,"Large","LXL","Ground","Clear","Medium",763,"(Peak Live + Cumulative Dead)*Expansion",1373,1647.6,"Large",17460,TRUE,345560,FALSE,1373.4,"MoR_Low_Abundance_Models",1302.7358718705,280.230659399026,21.5,1022.50521247147,1582.96653126952,1302.7,-0.0514780835881754,-0.209334789997572,"Yes"
"Late South Thompson","Late","Shuswap Complex-L","Little River",2024,"X-Large","LXL","Ground","Clear","Medium",43,"(Peak Live + Cumulative Dead)*Expansion",77,154,"X-Large",47790,TRUE,345560,FALSE,77.4,"MoR_Low_Abundance_Models",73.4176179428983,15.7928156673107,21.5,57.6248022755876,89.2104336102091,73.4,-0.0516795865633075,-0.523376623376623,"Yes"
"Late South Thompson","Late","Shuswap Complex-L","Lower Shuswap River",2024,"Large","LXL","Ground","Pt_Turb_Tannic","Medium",15,"(Peak Live + Cumulative Dead)*Expansion",27,35.1,"Large, Turbid",17460,TRUE,345560,FALSE,27,"MoR_Low_Abundance_Models",40.0306985013505,12.0126545648793,30,28.0180439364712,52.0433530662298,40,0.481481481481481,0.13960113960114,"Yes"
"Late South Thompson","Late","Shuswap Complex - Late","Middle Shuswap River",2024,"Medium","SM","Ground","Clear","Medium",2,"(Peak Live + Cumulative Dead)*Expansion",4,5.2,"Large, Turbid",4860,TRUE,101090,FALSE,3.6,"MoR_Low_Abundance_Models",3.41477292757667,0.73454956592143,21.5,2.68022336165524,4.1493224934981,3.4,-0.0555555555555556,-0.346153846153846,"Yes"
"Seton-Anderson","Late","Seton-L","Portage Creek",2024,"Medium","SM","Ground","Clear","Medium",182,"(Peak Live + Cumulative Dead)*Expansion",328,393.6,"Medium",4860,TRUE,101090,FALSE,327.6,"MoR_Low_Abundance_Models",310.744336409477,66.8440104988501,21.5,243.900325910626,377.588346908327,310.7,-0.0515873015873017,-0.210619918699187,"Yes"
"Harrison-Lillooet","Late","Lillooet-Harrison - Late","Green River",2024,"Medium","SM","Ground","Pt_Turb_Tannic","Medium",358,"(Peak Live + Cumulative Dead)*Expansion",646,839.8,"Turbid",4860,TRUE,101090,FALSE,644.4,"MoR_Low_Abundance_Models",955.399337565565,286.702022281786,30,668.697315283779,1242.10135984735,955.4,0.482619490999379,0.137651821862348,"Yes"
